derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race_observed,applicant_sex,applicant_sex_observed,applicant_age,applicant_age_above_62,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage
Not Hispanic or Latino,White,Joint,1,235000,8.75,945000,278,2,2,,2,5,,,2,1,2,35-44,No,3902,28.99,97500,77
Not Hispanic or Latino,White,Female,0,55000,NA,915000,70,2,2,,2,5,,,2,2,2,55-64,No,2652,34.46,184200,133
Hispanic or Latino,Race Not Available,Joint,1,675000,6.625,845000,152,3,1,,2,6,,,2,1,2,<25,No,3528,95.44,98200,93
Not Hispanic or Latino,White,Joint,1,525000,8.75,2155000,408,2,2,,2,5,,,2,1,2,35-44,No,5764,40.25,119500,103
Not Hispanic or Latino,White,Joint,1,465000,8.75,1095000,187,2,2,,2,5,,,2,1,2,55-64,Yes,6060,41.82,98200,184
Not Hispanic or Latino,Asian,Female,1,405000,8.75,1515000,278,2,2,,2,2,5,21,2,2,2,35-44,No,5635,58.42,180400,107
Hispanic or Latino,Race Not Available,Female,0,205000,NA,1005000,64,2,1,,2,6,,,2,2,2,45-54,No,3830,73.47,98200,57
Not Hispanic or Latino,Race Not Available,Male,0,255000,NA,515000,49,2,2,,2,6,,,2,1,2,45-54,No,5106,38.78,97500,88
Not Hispanic or Latino,White,Male,1,765000,6.125,1165000,NA,2,2,,2,5,,,2,1,2,55-64,No,1343,28.67,97500,106
Not Hispanic or Latino,White,Joint,1,355000,8.75,2595000,259,2,2,,2,5,,,2,1,2,65-74,Yes,5555,47.7,98200,251
Not Hispanic or Latino,White,Joint,0,355000,NA,1905000,315,2,2,,2,5,,,2,1,2,35-44,No,3693,28.97,129000,120
Not Hispanic or Latino,Black or African American,Female,0,55000,NA,455000,66,2,2,,2,3,,,2,2,2,55-64,No,3361,90.39,97500,87
Ethnicity Not Available,Race Not Available,Female,1,105000,8.75,795000,55,2,3,,2,6,,,2,2,2,65-74,Yes,3062,96.24,98200,110
